isbn,title,subtitle,authors,publisher,publishedDate,description,pageCount,categories,language
0440237270,Trial by Ice and Fire,,Clinton McKinzie,Dell,2004-03-02,"Clinton McKinzie has carved out his own unique territory with suspense novels that blend the heart-pounding thrills of extreme mountain climbing with gripping legal intrigue. “One of the strongest debuts of the year” raved the Chicago Tribune about his debut novel, The Edge of Justice, which was hailed as “action-packed…a page-turner” by USA Today. Now the acclaimed author of The Edge of Justice and Point of Law ratchets up the suspense yet again with a third high-altitude thriller where Antonio Burns--climber, lover, brother, and cop--returns, and walks into a world of glamour, obsession, and terror. Trial by Ice and Fire Haunted by a reputation he earned by killing three men under questionable circumstances, Antonio Burns finds himself scorned by good cops and admired by bad ones. Unable to shake the tag of “QuickDraw,” Burns has stepped closer to the edge of society while still doing the job he’s paid to do and loving a woman who doesn’t understand him--and may not want him anymore. And with his charismatic but dangerously antisocial brother, Roberto, in trouble with the law, Burns has to manage his loyalties carefully: He is a cop. ’Berto is a fugitive. And they’d die for one another. When Burns is sent to protect Wyoming prosecutor Cali Morrow, a former ski racer being threatened by a stalker, it seems like an easy job. But Cali is the beautiful daughter of one of America’s hottest movie stars, and the stalker may well be a man working on Burns’s side of the law. Antonio has a hard time resisting the woman he’s supposed to be protecting--and stomaching the social swirl of those who make Jackson Hole their playground. With the feds closing in on his brother, Burns can feel his own personal lifeline slipping out of his grasp--until he himself becomes the target of a madman.Trial by Ice and Fire combines extreme menace with extreme action--from a breathless ski adventure down a near-vertical ice chute to a night climb up the Grand Teton above the Snake River. In this powerhouse of a thriller, Clinton McKinzie brings us characters who are living on the edge, a plot that delivers one body-slamming surprise after another, and a novel that is his most fully realized and exciting to date.",403,Fiction,en
067178658X,The FBI,,Ronald Kessler,Simon and Schuster,1994,"An explosive expose from the bestselling author whose investigation brought down FBI director William S. Sessions. Offered unprecedented access and cooperation, Kessler reveals the inner workings of the modern FBI and the methods, powers and secrets of the people who run the Bureau. 16-page insert.",628,United States,en
081670905X,"Play it Again, Rosie!",,Ruth Brook,,1988,"All the Bugleberries enthusiastically plan a benefit show except Rosie, who mysteriously refuses to play her violin.",36,Fear,en
0590442899,Clifford Goes to Hollywood,,,Cartwheel Books,1980,Clifford The Big Red Dog goes to Hollywood--and becomes a movie star!,32,Juvenile Fiction,en
0761521364,Setting Limits With Your Strong-Willed Child,"Eliminating Conflict by Establishing Clear, Firm, and Respectful Boundaries","Robert J. MacKenzie, Robert J. Mac Kenzie",Three Rivers Press (CA),2001,"Now You Can Effectively Parent Your Strong-Willed Child Does your child constantly misbehave and ignore or refuse your requests for proper behavior? Is your relationship with your child based on conflict instead of mutual respect and cooperation? With the help of this groundbreaking book, you can create a positive, respectful, and rewarding relationship with your child. Inside are proven techniques and procedures that provide a refreshing alternative to the ineffective extremes of punishment and permissiveness. Parents and teachers alike will discover how to effectively motivate the strong-willed child and achieve proper conduct. You will learn how to: -Understand and empathize without giving in -Hold your ground without threatening -Remove daily power struggles between you and your child -Give clear, firm messages that your child understands and respects -And much more! ""Eminently useful and readable! This book should be a part of every parent's and school's reference library."" --Judy E. Hunt-Brown, principal, Elk Grove Unified School District ""A grand book that teaches everybody in the family new skills and encourages more peaceful, socially acceptable lives at home, school, in the office, or in any social group."" --Barbara O'Donnell, principal, St. Francis Elementary School ""A highly recommended eye-opener; beautifully documented."" --Stewart E. Teal, M.D., clinical professor of child psychiatry, University of California, Davis",289,Family & Relationships,en
0307126226,Mini-mysteries Featuring Garfield,,"Jim Kraft, Jim Davis",Golden Books,1991,In the first story Arlene creates a picture mystery for Garfield. In the second story Garfield solves the mystery of a vanishing baby elephant.,24,Cats,en
038072720X,Embracing Victory,"How Women Can Compete Joyously, Compassionately, and Successfully in the Workplace and on the Playing Field",Mariah Burton Nelson,,1999,"Deftly interweaving personal stories, interviews, and original survey research involving a thousand women, Nelson urges women to stop denying that they are competitive and embrace ""women's ways of winning"".",0,Businesswomen,en
0844226793,Teach Yourself Dream Interpretation,,Leila Bright,Contemporary Books,1999,"Dreams can be the key to better understanding ourselves and our relationships. Teach Yourself Dream Interpretation is an easy-to-navigate reference designed to help you identify and appreciate the roles of specific types of dreamsand use them to attain success in your life. A comprehensive A-to-Z glossary of symbols allows fast access to the meanings of dreams. Case studies and ""Food for Thought"" boxes appear throughout.",180,Dream interpretation,en
0914918788,The Ultimate Asteroid Book,,J. Lee Lehman,Schiffer Pub Limited,1988,"The asteroids are a series of small, heavenly bodies whose orbits fall mainly between those of Mars and Jupiter. The largest asteroid is 620 miles in diameter, the smallest, less than one mile. The use of the asteroids brings an influx of new symbols, and the addition of new symbols means the number of ideas which may be communicated is increased. It is as if you were working with a language which contained a vocabulary of ten words. You could create many more meanings than ten by combining these words in different ways. But consider how much richer the possible communication becomes if you suddenly have more than twice as many words to play with.",277,"Body, Mind & Spirit",en
0312863918,The Chessboard Queen,A Story of Guinevere,Sharan Newman,Macmillan,1997-10-15,"Guinevere, the queen consort of the legendary King Arthur, struggles against her love for the beloved Sir Lancelot.",308,Fiction,en
0439417805,We Are All Alike We Are All Different,,Cheltenham Elementary School,,2002-02-01,Kindergarten children describe the likenesses and differences among themselves.,32,Juvenile Nonfiction,en
0312300662,Ransom at Sea,A Ransom/Charters Mystery,Fred Hunter,Macmillan,2003-04-10,"When a passenger aboard a Great Lakes senior cruise is found murdered, church group member Emily Charter teams up with her friend, detective Jeremy Ransom, to solve the case.",287,Fiction,en
0201608405,Stupid Windows Tricks,,Bob LeVitus,Addison Wesley Publishing Company,1992,"Finally, Windows users can join their PC and Macintosh compatriots in whiling away the hours Stupid Windows Tricks. With equally ridiculous programs, Windows users can transform an ordinary computer into a comedian, prankster, and friend.",148,Microsoft Windows (Computer file),en
1571740325,Bittersweet,,Mary Summer Rain,,1995,Bittersweet focuses on the main events that have transpired since Soul Sounds ended.,264,"Authors, American",en
0340792949,Hitch Hiker,,"Margaret Astbury, Meg Hutchinson",Hodder Paperbacks,2001,"Philip Bartley stops to pick up a hitch-hiker one rainy night, hoping for sexual favours in return. But when the car crashes into a hedge, the slender, blonde figure with the seductive tongue is nowhere to be seen.",328,Murder victims,en
0803709773,"Ryan White, My Own Story",,"Ryan White, Ann Marie Cunningham",Dial,1991,"Ryan White describes how he got AIDS, engaged in a legal battle to return to school, and became a celebrity and spokesman for issues concerning the deadly disease.",277,Juvenile Nonfiction,en
1566890330,Happiness,Poems,Deborah Keenan,,1995,"Minnesota Book Award for Poetry finalist, 1995. ""A very satisfying cumulative beauty. . . .These are, simply, poems about love (while not exactly love poems) and the many forms it takes. They are finallynot about happiness. Best of all, they are smart enough to know the difference.""--The Nation",110,Poetry,en
0800619315,The Rise of Christianity,,W. H. C. Frend,,1984,"Traces the early history of the Christian church from Jewish Palestine prior to Christ's birth to the sixth century monastic movement, and explains how Christianity survived under a variety of cultures",1036,Religion,en
0440176484,Secrets,A Novel,Danielle Steel,Dell,1986-10-01,"Danielle Steel, America’s number-one best-selling novelist, has held millions spell-bound with such novels as Family Album, Full Circle, and Changes. But with Secrets she takes her readers beyond the tightly knit world of the family, into the heart of the nation’s most glamorous industry: television. Here is the drama behind the creation of Manhattan, a first-of-its-kind prime-time television series produced by Melvin Wechsler. Tempered by tragedy, seasoned by success, a man with a Midas touch, Mel Wechsler will assemble a dazzling cast: Sabina Quarles at forty-five has managed to maintain–by dint of spunk and surgery–the body of an eighteen-year-old. Tough, spirited, and self-sufficient, she has survived twenty years in Hollywood, never marrying, never quite succeeding, never deigning to work in television. Yet Manhattan may bring her both the stardom she craves–and the security her very special needs require. Jane Adams is an earthy thirty-nine-year-old beauty. Devoted to her children, dominated by her abusive and violent husband, forced to choose between her husband and her acting career, Jane may find that her role in Manhattan has cost her everything that matters most. Zack Taylor, the leading man, is a paragon of professionalism. Yet beyond the smooth good looks, the easy warmth, and the slick charm of the eligible bachelor, he remains an enigma. The charming ingenue, Gabrielle Thornton-Smith, seems to have appeared out of the blue. Beautiful, talented and on the brink of success at twenty-five, what can she have to hide? And Bill Warwick, plucked from the ranks of struggling young actors, is now slated to be the nation’s new heartthrob. But he has lied about one issue in his background. Not only will Bill’s future hang in the balance, but the success of the whole series may be jeopardized when he is forced publicly to confront the consequences of his little white lie. Set in Los Angeles and New York, Secrets carries the reader behind the scenes into the making of a major television series. Probing even deeper beneath the polished surfaces, Danielle Steel explores the dilemmas both men and women, in and out of the searchlight of the media, confront today. She paints a vivid, compelling picture of a sophisticated world and the surprisingly real problems of the people who inhabit it. Here Danielle Steel delineates her richest and most complex cast of characters, people forced together by extraordinary circumstances who must perform even when they're torn apart by their deepest secrets.",449,Fiction,en
0451201612,Miss Lacey's Last Fling,,Candice Hern,Signet Book,2001,"Having sacrificed her youthful opportunities to family obligations, mousy Miss Rosalind Lacey is finally ready to make the most of her long-postponed London Season -- and her Aunt Fanny is just the woman to show a girl all the nice, and naughty, things London has to offer. She starts with Max Denevant, rake extraordinaire.",0,England,en
0140386572,Monkey Trix,,Raewyn Caisley,Puffin,1997,Suddenly the gorilla is there in her living room! Can Kerry get him back into her video game?,60,Australian fiction,en
0060554886,The Illustrator in America,1860-2000,Walt Reed,Collins Design,2003-07-01,"A comprehensive reference covering over 140 years and 650 artists from the Civil War through the entire 20th century, The Illustrator in America includes a biographical sketch on each artist along with a time-line chart that provides the various influences of styles and schools needed to understand the artists and their work. First published in 1964 and revised in 1984, this third edition is now offered in paperback for the first time. Included in this incredible compendium are the works of Winslow Homer, Norman Rockwell, Jessie Wilcox Smith, J.C. Leyendecker, Milton Glase, Chris Van Allsberg and many more.",464,Art,en
0743419162,Fanning the Flame,,Kat Martin,Pocket Books,2002-07-30,"Adam Hawthorne has little use or trust for women until he encounters Jillian Whitney, the lovely young companion of an aged earl, but his growing trust could be shattered when Jillian becomes the prime suspect in her employer's murder.",406,Fiction,en
038548951X,Sister of My Heart,A Novel,Chitra Banerjee Divakaruni,Anchor,2000-01-18,"From the award-winning author of Mistress of Spices, the bestselling novel about the extraordinary bond between two women, and the family secrets and romantic jealousies that threaten to tear them apart. Anju is the daughter of an upper-caste Calcutta family of distinction. Her cousin Sudha is the daughter of the black sheep of that same family. Sudha is startlingly beautiful; Anju is not. Despite those differences, since the day on which the two girls were born, the same day their fathers died--mysteriously and violently--Sudha and Anju have been sisters of the heart. Bonded in ways even their mothers cannot comprehend, the two girls grow into womanhood as if their fates as well as their hearts were merged. But, when Sudha learns a dark family secret, that connection is shattered. For the first time in their lives, the girls know what it is to feel suspicion and distrust. Urged into arranged marriages, Sudha and Anju's lives take opposite turns. Sudha becomes the dutiful daughter-in-law of a rigid small-town household. Anju goes to America with her new husband and learns to live her own life of secrets. When tragedy strikes each of them, however, they discover that despite distance and marriage, they have only each other to turn to. Set in the two worlds of San Francisco and India, this exceptionally moving novel tells a story at once familiar and exotic, seducing readers from the first page with the lush prose we have come to expect from Divakaruni. Sister of My Heart is a novel destined to become as widely beloved as it is acclaimed.",340,Fiction,en
1888848219,Apocalypse Code,,Hal Lindsey,Western Front,1997,"Hal Lindsey, the father of modern-day Bible prophecy, contends that he has cracked the ""Apocalypse Code"" revealing long-hidden messages about man's future and the fate of the earth as prediced by the biblical prophet Daniel.",318,Bible,en
1572492570,Two Generations on the Allegheny Portage Railroad,The First Railroad to Cross the Allegheny Mountains,Christopher Jon Lewie,,2001,"During the early to mid-1800s, the railroad changed the transportation industry and dramatically impacted the nature of the American economy. Entire families, such as the Humphreys from Cambria County in western Pennsylvania, saw their fortunes rise and fall with this new technology. This remove mountain county was at the forefront of railroading technology and interstate competition during the mid-19th century. The Pennsylvania Main Line Canal System sought a way to cross the Alleghenies. The Main Line had to compete with the Erie and the Chesapeake & Ohio Canals to secure the lucrative western freight traffic. The Allegheny Portage Railroad, one of the first in the country, was not just part of the industrial age--it was the start of the industrial and transportation age in America.",0,Transportation,en
1930314019,Lessons from the Lives of the Saints,Daily Reflections for Growth in Holiness,"Fr Ph Esper, Joseph M. Esper",,2016-04-07,"Take a prayerful walk through the Church's liturgical calendar with Lessons from the Lives of the Saints. Each day contains a concise biography of these heroic men and women the Church venerates as saints. Fr. Esper provides a brief overview of each saint's life and explains simple lessons we can draw from his or her example. This book is a fantastic resource for our daily spiritual reading and meditation - a helpful guide that teaches us how to apply the saint's secrets of holiness to our own daily life. Important life lessons that we can learn from the Saints: How true joy comes not from earthly status, but from following Christ like St. Francis of Assisi How God answers our prayers, but often in a way demanding our patience Like Mary Magadalene, how no one is beyond the power of the grace of God How we can worship God and grow in holiness through both work and prayer, sometimes combined How, through charity and prayer, impossible situations can be transformed and family members converted How Christians may be called upon to endure great sufferings - but if so, God will always sustain us",0,Christian saints,en
0880708956,The Mystery of Marriage,Meditations on the Miracle,Mike Mason,Multnomah,1996,"Masterfully written and filled with fresh, rich truths, Mike Mason's unparalleled Gold Medallion-winner offers powerful wisdom and life-changing insights to encourage husbands and wives, and to enrich their marriage experience. Mason tackles vital subjects such as love, intimacy, sex, and submission as no other author has. Originally released to enthusiastic reviews, The Mystery of Marriage now features a dramatic, eye-catching new cover! Husbands and wives of every age and background will be deeply challenged and ministered to by the book J. I. Packer called ""a crackerjack!"" Elisabeth Elliot said that The Mystery of Marriage is ""A Drop-Everything book. A book on marriage to end",0,Marriage,en
0895298961,From Fatigued to Fantastic,,Jacob Teitelbaum,Avery Publishing Group,1998-12-01,"A manual for moving beyond Chronic Fatigue and Fibromyalgia, this book offersdetailed explanations of these disorders and treatment using both natural andpharmacological supplements.",224,Health & Fitness,en
1841953237,The Crimson Petal and the White,,Michel Faber,Canongate Books,2002,"Sugar, a 19-year-old whore in the brothel of Mrs Castaway, yearns for a better life. Her ascent through the strata of 1870s London society offers the reader a host of characters. At the heart of the story, however, is a young woman's struggle to lift her body and soul out of the gutter.",838,Great Britain,en
0679404384,Shape Shifter,Stories,Pauline Melville,Pantheon,1990,"A collection of short stories dealing with post-colonial life in the Caribbean, notably in the author's native Guyana, as well as of some stories set in London. Many of the characters, most of them displaced people from former colonies struggling to come to terms with a new life in Britain, attempt to find an identity, to reconcile their past and to escape from the restlessness hinted at in the title.",180,Short stories,en
0140153810,The Friendly Guide to the Universe,,Nancy Hathaway,Penguin Group,1995,"Is anybody out there? How long is a lightyear? And what's a quark, anyway? The Friendly Guide to the Universe answers all these questions and many more in this accessible, fact-crammed compendium, perfect for anyone who wants to have a deeper appreciation of deep space. The Friendly Guide to the Universe is based on the theory that there's nothing dull about the cosmos. Written for readers who already love astronomy as well as for those who have long been afraid to approach the wonders of the celestial spheres, it includes a chronology of the universe from the Big Bang to the decay of all matter; easy-to-understand explanations of key astronomical concepts, from Kepler's laws of planetary motion to the work of Stephen Hawking; a description of our unsuccessful attempts to contact other civilizations - and the many rumors about their attempts to get in touch with us; a history of observation - from Stonehenge to the Keck Telescope, and beyond; a look at the way the starry skies have been portrayed by artists, including Albrecht Durer, Diego Rivera, and Vincent van Gogh; and Myriad quotations from lovers of astronomy as varied as Geoffrey Chaucer, Lord Byron, H. G. Wells, Gertrude Stein, and, above all, James Joyce ... and more. The Friendly Guide to the Universe is designed to be fun to read, with illustrations, sidebars, and at-a-glance maps and charts throughout. Written in a friendly formula all its own, it illuminates not only the mystery and beauty of the solar system, the galaxy, and the universe as a whole, but also the people behind the continuing search for knowledge about the heavens. It's a book that makes for an entertaining, idiosyncratic astronomical companion - one thatwill be irresistible for any earthling who's ever looked skyward in wonder!",484,Astronomy,en
0312922604,The Grey Beginning,,Barbara Michaels,,1984,"Along with the truth came danger. Hoping that a trip to her late husband's childhood home will help her come to terms with his recent death, Kathy Malone travels to the rolling hills of Tuscany. But there, instead of solace, Kathy finds a lonely boy named Pietro, uncanny hints about her late husband, and the stately Contessa Morandini, whose chilly reception warms only when she mistakenly assumes Kathy is pregnant with the next heir of the Morandini line. Despite--or perhaps because of--the Contessa's efforts to keep Kathy and Pietro apart, Kathy befriends the young boy. Their games lead her through the villa's maze of dark hallways, where she begins to discover hints of a startling truth. As the pieces of a sinister and murderous plan fall into place, Kathy realizes she has stumbled onto a dangerous obsession...one that was meant to stay hidden forever.",277,Gothic novels,en
0312257392,César Chávez,A Brief Biography with Documents,Richard W. Etulain,Bedford/St. Martin's,2002-03-08,"This brief biography of César Chávez documents the life of one of the most important labor organizers of the last half of the 20th century — a reformer and activist who personified the American struggle for democracy. His story is told through an evocative biographical essay accompanied by several types of documents: Chávez in his own words, Chávez in the words of his contemporaries, Chávez as seen by historians in a group of secondary sources, and finally a visual portfolio of 20 photographs and cartoons. The secondary sources focus on critical questions about the labor unions he helped to found and the impact he made on the Chicano population as well as the rest of the world. All of these materials are accompanied by a helpful chronology, bibliographic essay, and questions for consideration.",138,History,en
0786004479,Scream of Eagles,,William W. Johnstone,Pinnacle Books,1997-08-18,"Raised by the Shawnee, Jamie Ian MacCallister had survived the bloodshed of the Alamo and the Civil War. With each victory, the MacCallister legend grows--as violent and unpredictable as the land that had given him life. When his wife is brutally murdered by the Miles Nelson gang, the battle gets personal.",324,Fiction,en
0881845906,The Mammoth Book of Ghost Stories,,Richard Dalby,Carroll & Graf Pub,1990,"An anthology of more than eighty tales of ghosts, hauntings, and horror encompasses the work of such authors as Poe, Dickens, Le Fanu, Twain, Kipling, Doyle, and Henry James, as well as such modern masters as Ramsey Campbell",654,Fiction,en
0553373862,Cinderella,,Shari Lewis,Bantam Books for Young Readers,1994,"Although mistreated by her stepmother and stepsisters, Cinderella meets her prince with the help of her fairy godmother.",32,Juvenile Nonfiction,en
0192828517,The Oxford Book of Royal Anecdotes,,Elizabeth Longford,"Oxford University Press, USA",1991,"Here is a sparkling collection of Crown jewels--from amusing tales that humanize their subjects to dramatic stories of martyrdoms, palace intrigues, and bloody battles. Elizabeth Longford, intimate of the royal family and biographer of Victoria and Elizabeth II, has assembled the best anecdotes ever written and reported abut the kings and queens of England, across the full range of Britain's history from the first century A.D. to the present day. Scholars and versifiers, lawgivers and saints crowd the pages alongside soldiers, scallywags, and imbeciles, and never have these distant figures been brought more vividly to life than in this splendid anthology. We read of Alfred's burnt cakes, Cnut and the wolves, Henry VIII and his six wives, George III resigning himself to American independence, Edward VII's gambling habits, and much more. There are samplings of royal wit (as when James I said of John Donne's poetry: Dr Donne's verses are like the peace of God; they pass all understanding.""), of royal modesty (as in Elizabeth II's explanation of why she wore no crown at the musician Robert Mayer's 100th birthday party: ""I thought it was Sir Robert's night, not mine.""), and of royal certitude (as in Victoria's comment during a dark moment of the Boer War: ""Please understand that there is no one depressed this house; we are not interested in the possibilities of defeat; they do not exist."") The Countess of Longford's helpful commentary clarifies the complexities of royal genealogy and adds a sharp and often humorous perspective to bygone events. Her sources range from the earliest medieval chroniclers to biographers and historians of today, from dispassionate descriptions to intimate and revealing accounts from the letters and journals of the monarchs themselves. The result is truly a historical feast fit for a king.",546,Anecdotes,en
0345354648,Five Patients,The Hospital Explained,Michael Crichton,,1989,"""Crichton has an extraordinary capacity to seize upon, then make real and personal, the new and the complex, the intriguing and the frighening."" THE NATION In this incisive, detailed survey of five patients, famous thriller author and doctor Michael Crichton explores the dramatic workings of Massachusetts General Hospital, Boston's oldest and most prestigious. This readable account covers not only the history of the hospital's place in society, but also the actual minute-to-minute functions of Mass General, where health professionals wage their daily battle against disease and death. Crichton's insightful look at the changes in medicine and surgery caused by technological strides of recent years makes for amazing reading.",276,Hospital care,en
0446391441,I Love You,,Susan Polis Schutz,Grand Central Pub,1991-02-01,Poems deal with the meaning of love and the challenges of maintaining a love relationship,77,Poetry,en
0770106161,Impersonal Attractions,,Sarah Shankman,,1987,"Annie is recently divorced and seeking a mate through the personals columns. Her best friend, Samantha, a crime reporter for the Chronicle, is also looking for a special man--a sadistic murderer terrorizing the San Francisco Bay area. Both Samantha and Annie get close--perhaps too close--to finding everything their hearts desire. Martin's.",326,,en
0911042512,The Pearson Girls,A Family Memoir of the Dakota Plains,Kathy L. Plotkin,"North Dakota State University, Institute for Regional Studies",1998,"The real-life story of the five daughters of Charlie and Inda Pearson who grew up on a farm in Emmons County, North Dakota, as told through letters, interviews, and stories by the author, a granddaughter of Charlie Pearson.",288,Children of immigrants,en
0871135515,On Love,,Alain De Botton,,1993,"In a novel that explores the realities of ""being in love,"" two young people meet on a plane to Paris and embark on a love affair based on what they perceive as destiny. A first novel. 25,000 first printing. National ad/promo.",231,Fiction,en
1593080387,Uncle Tom's Cabin,,Harriet Beecher Stowe,Barnes & Noble,2003,"""Uncle Tom's master sells him, separating him from his wife, and he becomes attached to the gentle daughter of his new owner, but after her death, he is sold to the evil Simon Legree""--NoveList.",530,Fiction,en
0449222918,Voices of Summer,,Diane Pearson,Fawcett,1993-12,"At a scenic 19th-century Austrian resort, rivalries flourish, passion ignites, and love conquers all. Every summer, the Hochhauser Operetta Company faced the fearsome task of finding someone to sing opposite brilliant, monstrous Karl Gesner. Can Therese Aschmann return from a 20-year exile and tame this nasty beast?",340,"Alps, Austrian (Austria)",en
0440214009,Treasures,A Novel,Belva Plain,Dell,1993-03-01,"A story of family... the Osbornes -- two sisters and a brother -- united by family ties but split apart by different dreams. Lara, the happy young wife, longs for the family that will make her life whole. Connie, wild and lovely, is more like her brother Eddy -- bright, ambitious, and ready to seize all that life has to offer. A story of choices... Connie is looking for wealth -- to make or to marry. Lara, staying behind in a small Ohio town, finds everything she cherishes threatened by fate and by her own blind commitment. And Eddy, as Wall Street's ""wonder boy,"" can make millions... if he ruthlessly uses his family and friends. A story of marriages... Lara's held together by devotion, Connie's shattered by infidelity and betrayal, and Eddy's rocked by shame and prison. Torn by conflicting loyalties, they are a family caught in the tides of scandal... and swept toward a fate where dreams may end or be born again...",530,Fiction,en
